Airline ID,Flight Number,Departure Date,Arrival Date,Departure Time,Arrival Time,Booking Code,Passenger Name,Seat Number,Class,Fare,Extras,Loyalty Points,Status,Gate,Terminal,Baggage Claim,Duration (hours),Layovers,Layover Locations,Aircraft Type,Pilot,Cabin Crew,Inflight Entertainment,Meal Option,WiFi Availability,Window Seat,Aisle Seat,Emergency Exit Row,Number of Stops,Reward Program Member,Airline Name,flag_status
6,2637,2023-06-26 00:11:20,2023-10-30 21:30:16,13:48:45,21:01:47,Bqlf,Banul,Twv,Economy,436.12,Meal,3649,Cancelled,Zn,A,Jlo,8.06,1,Wfq,Ruh,Eyzh,Dgal,Yes,Non-Vegetarian,Not Available,True,True,False,2,Yes,Alaska Airlines,1
5,6966,2023-04-27 21:36:15,2023-10-27 13:13:48,14:05:17,09:12:24,Bzil,Kanhr,Igs,Economy,965.8,No Extras,2598,Pending,Mh,D,Clj,6.68,1,Ggr,Src,Okty,Vndx,No,Vegetarian,Not Available,False,False,False,2,No,Jetblue Airways,0
12,5670,2023-03-31 15:08:52,2023-12-30 10:58:37,12:47:06,22:28:40,Bqpb,Ecvfx,Juh,Economy,329.94,Meal,0,Pending,Uu,C,Mps,9.48,1,Lxb,Lsa,Uqzr,Pkjb,No,Vegan,Available,False,False,True,0,No,Air Canada,0
1,6203,2023-08-04 16:59:58,2023-03-01 18:34:01,02:46:37,10:53:22,Brpj,Ueuyb,Uuc,Economy,165.07,Meal,0,Confirmed,Hx,A,Uto,1.98,0,Oga,Pnz,Olhe,Ahun,No,Vegetarian,Not Available,False,True,False,0,Yes,American Airline,6
8,6134,2023-03-07 01:08:36,2023-03-30 04:51:17,13:46:28,07:10:26,Bsdg,Cdwza,Lty,Business,491.32,Meal,0,Cancelled,Xu,B,Iky,8.45,0,Wvx,Dlg,Djhp,Dzum,Yes,Non-Vegetarian,Not Available,True,True,False,2,Yes,Frontier Airlines,5
1,2890,2023-01-17 08:11:37,2023-10-24 01:31:46,02:58:15,11:42:36,Bpsw,Pszwh,Yps,First,533.31,Meal,0,Confirmed,Ep,B,Hcr,6.4,2,Bxp,Eny,Mqap,Simt,Yes,Non-Vegetarian,Available,False,True,False,2,Yes,American Airline,4
5,4205,2023-09-23 06:45:23,2023-05-28 08:46:14,12:03:42,07:17:26,Beew,Bcngm,Uhu,Business,438.34,Meal,0,Pending,Su,C,Zga,7.97,0,Emt,Vrd,Pkti,Mxgp,No,Non-Vegetarian,Not Available,True,True,True,0,No,Jetblue Airways,7
6,9669,2023-11-17 12:17:08,2023-03-05 11:03:39,19:12:05,06:40:04,Bwgy,Gpcze,Glp,Economy,798.54,Extra Baggage,704,Cancelled,Hm,D,Egr,10.95,1,Zzn,Wrc,Byqb,Tgma,Yes,Vegan,Not Available,False,True,False,0,Yes,Alaska Airlines,2
3,3366,2023-01-14 02:46:30,2023-12-10 07:52:08,17:37:22,22:33:03,Bqac,Wcxot,Jcr,First,519.29,Meal,0,Cancelled,Dt,D,Rpx,8.9,1,Jio,Wyu,Mirc,Fmop,No,Vegetarian,Available,True,True,True,2,Yes,United Airlines,1
15,8559,2023-12-14 12:29:22,2023-09-28 11:45:44,00:23:18,12:15:00,Bpvb,Kwrev,Rky,Economy,340.43,No Extras,0,Pending,Ol,C,Lpl,2.4,2,Wuw,Tso,Oqnz,Ptqn,Yes,No Meal,Not Available,True,True,False,0,Yes,Air France,7
